gene,cluster
12945_02804,group_9784
12945_02805,group_2951
12945_02806,group_1646
12945_02807,apr_2
12945_02808,group_9212
12945_02809,tri1_2
12945_02810,ydhR
12945_02811,yybR_1
12945_02812,group_655
12945_02813,group_1364
12945_02814,group_9872
12945_02815,group_320
12945_02816,sigE_2
12945_02817,group_1365
12945_02818,dauA
12945_02819,group_2137
12945_02820,group_9115
12945_02821,group_726
12945_02822,purE
12945_02823,purK
12945_02824,yeaP
12945_02825,group_9261
12945_02826,group_2952
12945_02827,group_2953
12945_02828,gshA
12945_02829,group_9455
12945_02830,yqaA
12945_02831,group_899
12945_02832,group_2955
12945_02833,group_3824
12945_02834,gcdB
12945_02835,group_10114
12945_02836,group_1366
12945_02837,group_1367
12945_02838,group_9186
12945_02840,group_8745
12945_02841,group_8747
12945_02842,group_8748
12945_02843,group_9188
12945_02844,group_8750
12945_02846,csrA
12945_02847,group_9050
12945_02848,alaS
12945_02849,recX
12945_02850,recA
12945_02851,mutS
12945_02852,rpoS
12945_02853,nlpD
12945_02854,pcm
12945_02855,surE
12945_02856,truD
12945_02857,ispF
12945_02858,ispD
12945_02859,ftsB
12945_02860,eno
12945_02861,pyrG
12945_02862,mazG
12945_02863,relA
12945_02864,rlmD
12945_02865,barA_1
12945_02866,group_9836
12945_02867,group_570
12945_02868,dpnA
12945_02869,group_2958
12945_02870,group_3825
12945_02871,group_3826
12945_02872,group_603
12945_02873,group_809
12945_02874,group_1368
12945_02875,group_367
12945_02876,recN
12945_02877,group_2959
12945_02878,dmlR_8
12945_02879,pstS
12945_02880,phoR
12945_02881,adrB_3
12945_02882,porB
12945_02883,rdgC
12945_02884,pgrR_3
12945_02885,pbuE
12945_02886,group_2145
12945_02887,pleD_2
12945_02888,group_1148
12945_02889,group_8986
12945_02890,ygdG
12945_02891,group_1648
12945_02892,group_2961
12945_02893,group_303
12945_02894,group_1150
12945_02895,group_2962
12945_02896,icd
12945_02897,group_3827
12945_02898,group_3828
12945_02899,group_3829
12945_02900,group_3830
12945_02901,group_3831
12945_02902,avtA_1
12945_02903,group_727
12945_02904,group_252
12945_02905,group_3832
12945_02906,avtA
12945_02907,group_2963
12945_02908,rlmM
12945_02909,group_8583
12945_02910,group_1036
12945_02911,group_1649
12945_02912,group_2146
12945_02913,gcvA_4
12945_02914,group_608
12945_02915,thiI
12945_02916,motB
12945_02917,pomA
12945_02918,xseB
12945_02919,ispA
12945_02920,dxs_2
12945_02921,group_8670
12945_02922,group_740
12945_02923,kefC_2
12945_02924,dosC_2
12945_02925,group_6
12945_02926,group_136
12945_02927,group_2967
12945_02928,group_321
12945_02929,tilS
12945_02930,dnaE
12945_02931,kdpE
12945_02932,kdpD
12945_02933,kdpC
12945_02934,kdpB
12945_02935,kdpA
12945_02936,group_2969
12945_02937,group_1151
12945_02938,group_3836
12945_02939,rnhB
12945_02940,lpxB
12945_02941,lpxA
12945_02942,fabZ
12945_02943,lpxD
12945_02944,skp
12945_02945,bamA
12945_02946,rseP
12945_02947,dxr
12945_02948,cdsA_1
12945_02949,uppS
12945_02950,frr
12945_02951,pyrH
12945_02952,tsf
12945_02953,rpsB
12945_02954,map_2
12945_02955,glnD
12945_02956,dapD
12945_02957,group_1001
12945_02958,purU
12945_02959,ptsG
12945_02960,cysJ_2
12945_02961,group_10032
12945_02962,truC
12945_02963,group_2972
12945_02964,group_9530
12945_02965,group_2973
12945_02966,group_813
12945_02967,group_2149
12945_02968,group_2974
12945_02969,group_1652
12945_02970,group_3837
12945_02971,group_2975
12945_02972,group_3838
12945_02973,syd
12945_02974,queF
12945_02975,sfp
12945_02976,group_1152
12945_02977,group_3840
12945_02978,group_187
12945_02979,group_182
12945_02980,pksJ
12945_02981,pksE
12945_02982,ysnE
12945_02983,group_1003
12945_02984,group_3842
12945_02985,group_1369
12945_02986,group_3843
12945_02987,yfiN
12945_02988,group_1370
12945_02989,group_2977
12945_02990,group_1653
12945_02991,gpx1_2
12945_02992,group_9912
12945_02993,yhbU
12945_02994,group_1655
12945_02995,group_10075
12945_02996,aer_2
12945_02997,group_2978
12945_02998,adrA_3
12945_02999,group_8634
12945_03000,group_9594
12945_03001,group_8471
12945_03002,group_1153
12945_03003,group_9902
12945_03004,pilY1_3
12945_03005,group_3844
12945_03006,group_8879
12945_03007,group_8296
12945_03008,ispH
12945_03009,fkpB
12945_03010,lspA
12945_03011,ileS
12945_03012,ribF
12945_03013,murJ
12945_03014,rpsT
12945_03015,hlyU_2
12945_03016,group_10008
12945_03017,group_9937
12945_03018,alsT_2
12945_03019,xpkA
12945_03020,oprF_2
12945_03021,tal
12945_03022,pgi
12945_03023,group_8127
12945_03024,group_9474
12945_03025,adrB_4
12945_03026,group_10027
12945_03027,nfo
12945_03028,thrC
12945_03029,thrB
12945_03030,thrA
12945_03031,slyD_2
12945_03032,group_1657
12945_03033,trpR
12945_03034,group_9393
12945_03035,group_9466
12945_03036,raiA
12945_03037,pheA
12945_03038,nhaP
12945_03039,group_9886
12945_03040,hcr
12945_03041,hcp
12945_03042,tyrA
12945_03043,aroF
12945_03044,rplS
12945_03045,trmD
12945_03046,rimM
12945_03047,rpsP
12945_03048,ffh
12945_03049,ypjD
12945_03050,tlyC_2
12945_03051,group_2982
12945_03052,acpS
12945_03053,pdxJ
12945_03054,recO
12945_03055,era
12945_03056,rnc
12945_03057,lepB
12945_03058,lepA
12945_03059,group_9830
12945_03060,rseB
12945_03061,rseA
12945_03062,rpoE
12945_03063,nadB
12945_03064,group_1004
12945_03065,sdhE
12945_03066,nhaR
12945_03067,group_9925
12945_03068,nhaA
12945_03069,thyA
12945_03070,lgt
12945_03071,group_9201
12945_03072,ptsP
12945_03073,rppH
12945_03074,mutH
12945_03075,group_8177
12945_03076,oxyR
12945_03077,arcB
12945_03078,group_9946
12945_03079,gltB
12945_03080,gltD
12945_03081,mtnN_1
12945_03082,cbiB
12945_03083,group_8110
12945_03084,group_2986
12945_03085,group_8543
12945_03086,group_2987
12945_03087,tyrS
12945_03088,mepM_4
12945_03089,anmK
12945_03090,aqpZ
12945_03091,group_10018
12945_03092,group_9400
12945_03093,erpA
12945_03094,group_9283
12945_03095,clcA
12945_03096,pyrB
12945_03097,hemL
12945_03098,nhaD_2
12945_03099,group_1371
12945_03100,group_2989
12945_03101,cca
12945_03102,group_8136
12945_03103,rlmA_2
12945_03104,uppP
12945_03105,folK_2
12945_03106,folB
12945_03107,plsY
12945_03108,tsaD
12945_03109,rpsU
12945_03110,group_9665
12945_03111,dnaG
12945_03112,rpoD
12945_03114,group_2991
12945_03115,group_3291
12945_03116,group_26
12945_03117,group_3845
12945_03118,group_3846
12945_03119,group_197
12945_03120,group_190
12945_03121,group_191
12945_03122,wapA
12945_03123,dinB
12945_03124,pctC_3
12945_03125,bfr_1
12945_03126,bfr_2
12945_03127,dosC_3
12945_03128,group_8137
12945_03129,apbE_2
12945_03130,nqrF
12945_03131,nqrE
12945_03132,nqrD
12945_03133,nqrC
12945_03134,nqrB
12945_03135,nqrA
12945_03136,group_304
12945_03137,luxS
12945_03138,bolA
12945_03139,group_1035
12945_03140,rlmG
12945_03141,group_467
12945_03142,group_233
12945_03143,phoP_3
12945_03144,phoQ_3
12945_03145,group_364
12945_03146,group_3847
12945_03147,group_3848
12945_03148,group_3849
12945_03149,group_1374
12945_03150,group_1007
12945_03151,grxB
12945_03152,group_2162
12945_03153,group_2994
12945_03154,group_903
12945_03155,group_2995
12945_03156,group_9661
12945_03157,group_8665
12945_03158,group_2996
12945_03159,group_9315
12945_03160,group_2164
12945_03161,panE
12945_03162,group_3850
12945_03163,cmpR_2
12945_03164,group_741
12945_03165,ifcA_2
12945_03166,ais
12945_03167,group_273
12945_03168,group_275
12945_03169,kdsA
12945_03170,group_3852
12945_03171,group_9652
12945_03172,group_8878
12945_03173,prmC
12945_03174,prfA
12945_03175,hemA
12945_03176,lolB
12945_03177,ispE
12945_03178,prs_2
12945_03179,hisC_2
12945_03180,group_1662
12945_03181,group_1376
12945_03186,group_8071
12945_03188,ychF
12945_03189,pth
12945_03190,ubiF
12945_03191,group_1663
12945_03192,miaB
12945_03193,group_8249
12945_03194,ybeY
12945_03195,corC_1
12945_03196,lnt
12945_03197,group_502
12945_03198,menE_1
12945_03199,group_9907
12945_03200,rhlG
12945_03201,group_3001
12945_03202,group_8203
12945_03203,leuS
12945_03204,lptE
12945_03205,holA
12945_03206,nadD
12945_03207,rsfS
12945_03208,rlmH
12945_03209,mrdA
12945_03210,mrdB
12945_03211,mltB_3
12945_03212,rlpA
12945_03213,dacA
12945_03214,rhlE_4
12945_03215,group_2169
12945_03216,yfkM
12945_03217,group_1156
12945_03218,group_3853
12945_03219,group_553
12945_03220,group_3854
12945_03221,yqiK
12945_03222,yqiJ
12945_03223,group_905
12945_03224,group_1665
12945_03225,group_9898
12945_03226,group_129
12945_03227,group_9354
12945_03228,group_9963
12945_03229,lptG
12945_03230,lptF
12945_03231,pepA_2
12945_03232,nemR
12945_03233,curA
12945_03234,yddE
12945_03235,holC
12945_03236,valS
12945_03237,alx
12945_03238,group_504
12945_03239,group_3004
12945_03240,group_2171
12945_03241,chaA
12945_03242,group_10016
12945_03243,mmgC_2
12945_03244,mipA
12945_03245,group_2173
12945_03246,cph2_8
12945_03247,rstB_1
12945_03248,group_1669
12945_03249,group_3006
12945_03250,ftsH2
12945_03251,purT_2
12945_03252,cyaB
12945_03253,hprA
12945_03254,group_1158
12945_03255,djlA
12945_03256,cugP
12945_03257,group_1160
12945_03258,lptD
12945_03259,surA
12945_03260,pdxA
12945_03261,rsmA
12945_03262,apaG
12945_03263,apaH
12945_03264,mcpQ_7
12945_03265,group_2177
12945_03266,group_2178
12945_03267,group_2179
12945_03268,group_119
12945_03269,group_2181
12945_03270,group_118
12945_03271,group_3855
12945_03272,group_1671
12945_03273,group_10090
12945_03274,dhfrIII
12945_03275,group_9684
12945_03276,yjjP
12945_03277,cgtA
12945_03278,rpmA
12945_03279,ispB
12945_03280,clpB_2
12945_03281,yfiH
12945_03282,rluD
12945_03283,bamD
12945_03284,group_8448
12945_03285,group_8623
12945_03286,group_8625
12945_03287,group_8626
12945_03288,mcpQ_8
12945_03289,mcpQ_9
12945_03290,lhpI
12945_03291,sigW
12945_03292,group_9987
12945_03293,group_1379
12945_03294,rsuA_2
12945_03295,maa_2
12945_03296,pepO_2
12945_03297,group_1162
12945_03298,group_9233
12945_03299,group_9380
12945_03300,yfcG_3
12945_03301,btuB_9
12945_03302,group_130
12945_03303,group_906
12945_03304,group_907
12945_03305,group_397
12945_03306,group_8699
12945_03307,maeA
12945_03308,group_9061
12945_03309,ydaM_1
12945_03310,group_1673
12945_03311,queG
12945_03312,group_9414
12945_03313,group_2186
12945_03314,metE
12945_03315,metR
12945_03316,group_8982
12945_03317,tesA
12945_03318,cirA_7
12945_03319,yhaI
12945_03320,group_344
12945_03321,rihA
12945_03322,rbsK
12945_03323,group_9249
12945_03324,group_9680
12945_03325,group_8076
12945_03326,group_3011
12945_03327,group_9210
12945_03328,yidZ_5
12945_03329,pgrR_4
12945_03330,group_1380
12945_03331,group_2187
12945_03332,group_909
12945_03333,group_1676
12945_03334,rtcA
12945_03335,rtcB_1
12945_03336,group_3858
12945_03340,zraR_2
12945_03341,group_3859
12945_03342,group_3014
12945_03343,group_1008
12945_03344,group_2188
12945_03345,group_746
12945_03346,group_1381
12945_03347,group_3510
12945_03348,gcvP
12945_03349,gcvH
12945_03350,gcvT
12945_03351,ubiI
12945_03352,ubiH
12945_03353,group_9820
12945_03354,zapA
12945_03355,ygfA
12945_03356,group_2189
12945_03357,sodC
12945_03358,yedI
12945_03359,rpiA
12945_03360,group_3016
12945_03361,recJ
12945_03362,dsbC
12945_03363,xerD
12945_03364,brnQ_2
12945_03365,yfiC
12945_03366,srmB_2
12945_03367,mdtA_6
12945_03368,mexB_2
12945_03369,group_9911
12945_03370,group_9308
12945_03371,dapb2
12945_03372,tyrP_1
12945_03373,dctA
12945_03374,gbpA
12945_03375,group_9527
12945_03376,cat_2
12945_03377,group_814
12945_03378,group_10065
12945_03379,group_9507
12945_03380,group_1677
12945_03381,group_9889
12945_03382,group_3018
12945_03383,group_8492
12945_03384,csgD_2
12945_03385,yjdF
12945_03386,serA
12945_03387,ygfZ
12945_03388,adrB_5
12945_03389,barA_2
12945_03390,gcvA_5
12945_03391,alsT_3
12945_03392,yxdL
12945_03393,group_1479
12945_03394,group_581
12945_03395,group_574
12945_03396,group_3023
12945_03397,napA_2
12945_03398,group_9791
12945_03399,yccM_1
12945_03400,napB_2
12945_03401,group_1164
12945_03402,yhdN_2
12945_03403,pgrR_5
12945_03404,group_9169
12945_03405,acn
12945_03406,group_9374
12945_03407,rpfG_5
12945_03408,group_9338
12945_03409,cynR_4
12945_03410,uspE_3
12945_03411,gerN
12945_03412,dap4_2
12945_03413,fbp_2
12945_03414,ppa
12945_03415,group_2196
12945_03416,gltP_3
12945_03417,yohK
12945_03418,cidA
12945_03419,hcaR
12945_03420,tyrP_2
12945_03421,group_2197
12945_03422,group_3029
12945_03423,group_9291
12945_03424,group_576
12945_03425,ycdT_1
12945_03426,lysU
12945_03427,prfB_1
12945_03428,group_3860
12945_03429,group_1384
12945_03430,mcpP_2
12945_03431,mcpP_3
12945_03432,chrA
12945_03433,group_1165
12945_03434,group_2198
12945_03435,adrB_6
12945_03436,rstB_2
12945_03437,rlmC
12945_03438,glpD
12945_03439,ohrR
12945_03440,ohrB
12945_03441,group_3031
12945_03442,pctA_1
12945_03443,group_3033
12945_03444,group_3034
12945_03445,group_3861
12945_03446,ahpF
12945_03447,ahpC
12945_03448,pepA_3
12945_03449,speE_3
12945_03450,group_3035
12945_03451,clcD
12945_03452,ldhA
12945_03453,group_3038
12945_03454,group_3039
12945_03455,group_1387
12945_03456,group_9650
12945_03457,group_3040
12945_03458,group_9915
12945_03459,cadC_1
12945_03460,rluA_3
12945_03461,asnC
12945_03462,vpr_2
12945_03463,group_9760
12945_03464,lysC
12945_03465,group_9697
12945_03466,adrB_7
12945_03467,fusA_2
12945_03468,ydaM_2
12945_03469,cfiB
12945_03470,dmlR_9
12945_03471,bla
12945_03472,group_9953
12945_03473,sprT
12945_03474,nucM
12945_03475,rsmE
12945_03476,gshB
12945_03477,phoA_3
12945_03478,rsmC
12945_03479,group_9355
12945_03480,group_3042
12945_03481,group_3043
12945_03482,mdtA_7
12945_03483,bepE_3
12945_03484,group_1189
12945_03485,group_1388
12945_03486,group_1389
12945_03487,group_1188
12945_03488,cdsA_2
12945_03489,group_9298
12945_03490,group_910
12945_03491,group_3045
12945_03492,group_9523
12945_03493,ynbA
12945_03494,impA
12945_03495,tlyC_3
12945_03496,ydaM_3
12945_03497,group_3046
12945_03498,group_3449
12945_03499,group_657
12945_03500,group_610
12945_03501,group_9297
12945_03502,group_2205
12945_03503,group_2206
12945_03504,hxuC
12945_03505,group_468
12945_03506,group_8498
12945_03507,group_9565
12945_03508,hmuT
12945_03509,hmuU_2
12945_03510,hmuV
12945_03511,group_930
12945_03512,group_1686
12945_03513,group_10048
12945_03514,group_3410
12945_03515,group_2207
12945_03516,group_815
12945_03517,group_3048
12945_03518,group_3049
12945_03519,group_8431
12945_03520,calB
12945_03521,bm3R1
12945_03522,csgG
12945_03523,group_3050
12945_03524,group_3051
12945_03525,fixL
12945_03526,zraR_3
12945_03527,macB_2
12945_03528,group_3864
12945_03529,yknY_2
12945_03530,group_1011
12945_03531,group_3866
12945_03532,btuF
12945_03533,group_9685
12945_03534,group_9397
12945_03535,group_9322
12945_03536,group_1012
12945_03537,bvgS_1
12945_03538,murA
12945_03539,ibaG
12945_03540,group_3052
12945_03541,mlaC
12945_03542,mlaD
12945_03543,mlaE
12945_03544,mlaF
12945_03545,yrbG_1
12945_03546,kdsD
12945_03547,kdsC
12945_03548,lptC
12945_03549,lptA
12945_03550,lptB
12945_03551,rpoN
12945_03552,hpf
12945_03553,ptsN
12945_03554,rapZ
12945_03555,ptsO
12945_03556,mgtE
12945_03557,group_2210
12945_03558,group_9769
12945_03559,yiaD_3
12945_03560,group_1688
12945_03561,group_913
12945_03562,srpA
12945_03563,fumC
12945_03564,group_3055
12945_03565,group_306
12945_03566,group_9715
12945_03567,mnmC_2
12945_03568,group_2211
12945_03569,group_1013
12945_03570,dsbD_2
12945_03571,group_2212
12945_03572,group_3057
12945_03573,tsgA
12945_03574,deoD3
12945_03575,pleD_3
12945_03576,group_577
12945_03577,dtpT_2
12945_03578,gpgP
12945_03579,group_914
12945_03580,ycdT_2
12945_03581,group_365
12945_03582,group_366
12945_03583,group_613
12945_03584,group_2215
12945_03585,cat1
12945_03586,group_186
12945_03587,group_507
12945_03588,group_3058
12945_03589,opuD
12945_03590,group_1014
12945_03591,group_1690
12945_03592,group_508
12945_03593,group_1394
12945_03594,group_309
12945_03595,group_676
12945_03596,group_3867
12945_03597,trmO_2
12945_03598,group_3060
12945_03599,group_3061
12945_03600,group_1396
12945_03601,group_3062
12945_03602,group_2216
12945_03603,rtcB_2
12945_03604,prfB_2
12945_03605,group_331
12945_03606,hipA_2
12945_03607,hipB_2
12945_03608,group_510
12945_03609,group_3868
12945_03610,group_3869
12945_03611,group_3870
12945_03612,group_446
12945_03613,groL
12945_03614,groS
12945_03615,mepA_3
12945_03616,group_658
12945_03617,group_660
12945_03618,group_3871
12945_03619,adrB_8
12945_03620,cph2_9
12945_03621,group_1171
12945_03622,yybR_2
12945_03623,group_614
12945_03624,cutA
12945_03625,dsbD_3
12945_03626,ybaL
12945_03627,galK
12945_03628,mro
12945_03629,group_3065
12945_03630,group_310
12945_03631,group_9266
12945_03632,ppsC
12945_03633,group_3551
12945_03634,group_3066
12945_03635,group_8288
12945_03636,group_9625
12945_03637,group_9422
12945_03638,fdhD_2
12945_03639,group_3068
12945_03640,selA
12945_03641,fdhE_2
12945_03642,fdnI_2
12945_03643,fdnH_2
12945_03644,fdnG_2
12945_03645,fdnG_3
12945_03646,dmlR_10
12945_03647,group_512
12945_03648,ssb
12945_03649,yajR
12945_03650,uvrA_1
12945_03651,group_3872
12945_03652,group_312
12945_03653,deaD
12945_03654,ycdT_3
12945_03655,group_3873
12945_03656,group_2221
12945_03657,group_9928
12945_03658,tsdA
12945_03659,group_10115
12945_03660,group_8307
12945_03661,aaeA_2
12945_03662,slyA
12945_03663,mcpU_3
12945_03664,metF
12945_03665,metL
12945_03666,metB
12945_03667,metJ
12945_03668,group_2222
12945_03669,group_3070
12945_03670,group_9850
12945_03671,ydhX_1
12945_03672,psrA
12945_03673,group_9138
12945_03674,group_2225
12945_03675,group_9404
12945_03676,group_8724
12945_03677,pgdA
12945_03678,group_915
12945_03679,nemA_4
12945_03680,dmlR_11
12945_03681,ttrS_2
12945_03682,ttrR_2
12945_03683,group_9312
12945_03684,regA
12945_03685,regB
12945_03686,group_3073
12945_03687,group_1695
12945_03688,yiaW
12945_03689,yiaV
12945_03690,group_10083
12945_03691,group_2228
12945_03692,group_3874
12945_03693,group_8515
12945_03694,rimO
12945_03695,group_1400
12945_03696,group_1401
12945_03697,group_1696
12945_03698,group_578
12945_03699,pmbA
12945_03700,group_9342
12945_03701,group_8445
12945_03702,hydA_2
12945_03703,group_1697
12945_03704,group_3875
12945_03705,thiH_2
12945_03706,group_3075
12945_03707,group_1403
12945_03708,mnmE_1
12945_03709,group_10100
12945_03710,group_9279
12945_03711,group_8731
12945_03712,group_9435
12945_03713,group_747
12945_03714,tldD
12945_03715,group_9906
12945_03716,group_1186
12945_03717,rng
12945_03718,yhdE
12945_03719,mreD
12945_03720,mreC
12945_03721,mreB
12945_03722,pitA
12945_03723,group_1404
12945_03724,group_1405
12945_03725,group_1700
12945_03726,group_2230
12945_03727,group_916
12945_03728,group_3876
12945_03729,group_3877
12945_03730,group_2231
12945_03731,group_2232
12945_03732,epsF_3
12945_03733,epsE_2
12945_03734,group_345
12945_03735,group_3077
12945_03736,outD_2
12945_03737,group_1807
12945_03738,group_3078
12945_03739,group_2234
12945_03740,group_3079
12945_03741,group_1701
12945_03742,group_1702
12945_03743,maeB
12945_03744,group_3878
12945_03745,group_817
12945_03746,group_2235
12945_03747,group_917
12945_03748,group_1174
12945_03749,ubiD
12945_03750,fre
12945_03751,group_8476
12945_03752,group_10015
12945_03753,group_9787
12945_03754,group_9316
12945_03755,rraA
12945_03756,hutG
12945_03757,ubiE
12945_03758,group_9436
12945_03759,ubiB
12945_03760,tatA
12945_03761,tatB
12945_03762,tatC
12945_03763,group_2237
12945_03764,tatD
12945_03765,cph2_10
12945_03766,hemB_2
12945_03767,group_9876
12945_03768,gppA
12945_03769,rhlB
12945_03770,trxA
12945_03771,rho
12945_03772,group_3081
12945_03773,group_9178
12945_03774,group_9356
12945_03775,group_3082
12945_03776,udp_2
12945_03777,group_2238
12945_03778,ldc
12945_03779,ygiD
12945_03780,group_3083
12945_03781,mscS_3
12945_03782,group_2239
12945_03783,group_2240
12945_03784,group_9900
12945_03785,group_3084
12945_03786,emrB
12945_03787,emrA
12945_03788,dmlR_12
12945_03789,group_9164
12945_03790,group_3879
12945_03791,nimR_2
12945_03792,group_3087
12945_03793,group_1703
12945_03794,group_819
12945_03795,zntR
12945_03796,purH
12945_03797,purD
12945_03798,frdB
12945_03799,frdA
12945_03800,frdC_1
12945_03801,frdC_2
12945_03802,prmA
12945_03803,dus
12945_03804,fis
12945_03805,yfhM
12945_03806,pbpC
12945_03807,group_276
12945_03808,yddA
12945_03809,group_9587
12945_03810,group_1704
12945_03811,exbB_2
12945_03812,group_1705
12945_03813,group_8907
12945_03814,group_2243
12945_03815,group_579
12945_03816,ytfE
12945_03817,group_2244
12945_03818,group_3516
12945_03819,group_3880
12945_03820,yigB
12945_03821,xerC_2
12945_03822,group_8794
12945_03823,dapF
12945_03824,lysA
12945_03825,cyaY
12945_03826,cyaA
12945_03827,hemC
12945_03828,hemD
12945_03829,hemX
12945_03830,group_9337
12945_03831,group_1408
12945_03832,group_820
12945_03833,group_470
12945_03834,group_821
12945_03835,group_200
12945_03836,group_2247
12945_03837,group_399
12945_03838,lktA
12945_03839,apxIB
12945_03840,prsE
12945_03841,bepC
12945_03842,oprF_3
12945_03843,group_3091
12945_03844,pleD_4
12945_03847,group_8150
12945_03849,ycdT_4
12945_03850,rep
12945_03851,group_3092
12945_03852,group_9516
12945_03853,group_2250
12945_03854,creD
12945_03855,pgpB
12945_03856,pucG
12945_03857,ilvA
12945_03858,ilvD
12945_03859,ilvM
12945_03860,ilvG
12945_03861,ilvC
12945_03862,cmpR_3
12945_03863,group_238
12945_03864,corC_2
12945_03865,group_1020
12945_03866,csrD_2
12945_03867,group_9362
12945_03868,group_3097
12945_03869,group_1706
12945_03870,group_2251
12945_03871,group_1708
12945_03872,comM
12945_03873,cmpR_4
12945_03874,phnX
12945_03875,mdh_2
12945_03876,phnE
12945_03877,glnQ
12945_03878,phnD
12945_03879,oprO
12945_03880,group_2509
12945_03881,group_3099
12945_03882,caiA_1
12945_03883,gloC_2
12945_03884,ygcS
12945_03885,fixX
12945_03886,group_9130
12945_03887,etfA_2
12945_03888,etfB_2
12945_03889,group_9656
12945_03890,caiT
12945_03891,caiA_2
12945_03892,caiB
12945_03893,caiC
12945_03894,caiD
12945_03895,caiE_2
12945_03896,nlhH_1
12945_03897,group_1844
12945_03898,btuB_10
12945_03899,yjjG
12945_03900,group_9517
12945_03901,group_1229
12945_03902,dmlR_13
12945_03903,group_3885
12945_03904,group_2455
12945_03905,group_3886
12945_03906,group_918
12945_03907,group_3887
12945_03908,vsr
12945_03909,group_3888
12945_03910,ydiO
12945_03911,nahK
12945_03912,group_919
12945_03913,group_281
12945_03914,gmk
12945_03915,rpoZ
12945_03916,spoT
12945_03917,yabJ_2
12945_03918,trmH
12945_03919,group_8544
12945_03920,yrbG_2
12945_03921,group_472
12945_03922,group_1709
12945_03923,desK
12945_03924,desR
12945_03925,glcA
12945_03926,dlsT_2
12945_03927,group_749
12945_03928,group_823
12945_03929,group_1710
12945_03930,group_1411
12945_03931,recG
12945_03932,group_8735
12945_03933,group_9477
12945_03934,group_10017
12945_03935,group_9456
12945_03936,acpP_2
12945_03937,group_9670
12945_03938,dltA
12945_03939,group_2259
12945_03940,group_9810
12945_03941,hutH_4
12945_03942,group_824
12945_03943,group_220
12945_03944,group_751
12945_03945,group_8199
12945_03946,group_1412
12945_03947,fabF_2
12945_03948,group_3105
12945_03949,fabG_3
12945_03950,fabF_3
12945_03951,ycdT_5
12945_03952,group_1711
12945_03953,azoR
12945_03954,group_1712
12945_03955,dtd
12945_03956,pip_2
12945_03957,group_3107
12945_03958,group_3108
12945_03959,group_9184
12945_03960,yccM
12945_03961,pucA
12945_03962,group_1413
12945_03963,iorA
12945_03964,iorB
12945_03965,yahB_2
12945_03966,mepA_4
12945_03967,typA
12945_03968,glnA
12945_03969,group_2261
12945_03970,group_1414
12945_03971,group_1416
12945_03972,yedA
12945_03973,group_471
12945_03974,yycB_2
12945_03975,group_2300
12945_03976,yqhD_1
12945_03977,group_9433
12945_03978,glnL
12945_03979,glnG
12945_03980,group_3110
12945_03981,fieF_2
12945_03982,spy
12945_03983,adrB_9
12945_03984,cpxA_2
12945_03985,group_3112
12945_03986,allS
12945_03987,group_2262
12945_03988,group_3890
12945_03989,urdA_3
12945_03990,acuI
12945_03991,acoR
12945_03992,ald1
12945_03993,cirA_8
12945_03994,trmL
12945_03995,group_1721
12945_03996,group_2269
12945_03997,group_1417
12945_03998,group_9317
12945_03999,group_8505
12945_04000,yxeP
12945_04001,group_9825
12945_04002,cph2_11
12945_04003,group_2270
12945_04004,mdtL_2
12945_04005,yidZ_6
12945_04006,pctA_2
12945_04007,group_9575
12945_04008,group_9647
12945_04009,group_8491
12945_04010,group_10070
12945_04011,group_8224
12945_04012,yjeH
12945_04013,lrp_3
12945_04014,cctA_2
12945_04015,group_8562
12945_04016,ydhX_2
12945_04017,nrfB_2
12945_04018,group_8482
12945_04019,group_2271
12945_04020,menD
12945_04021,menH_4
12945_04022,menC
12945_04023,menE
12945_04024,group_671
12945_04025,bvgA
12945_04026,bvgS
12945_04027,yadV_1
12945_04028,group_3115
12945_04029,fimD
12945_04030,yadV_2
12945_04031,group_2273
12945_04032,group_617
12945_04033,group_1185
12945_04034,group_2274
12945_04035,katG
12945_04036,rpoH
12945_04037,ftsX
12945_04038,ftsE
12945_04039,ftsY
12945_04040,rsmD
12945_04041,group_3116
12945_04042,group_2275
12945_04043,group_8681
12945_04044,group_9979
12945_04045,ompV
12945_04046,group_9259
12945_04047,cph2_12
12945_04048,rstB_3
12945_04049,group_9654
12945_04050,ycaD
12945_04051,group_9671
12945_04052,group_1176
12945_04053,group_3118
12945_04054,group_3119
12945_04055,group_8396
12945_04056,dmlR_14
12945_04057,cirA_9
12945_04058,esiB_2
12945_04059,group_10002
12945_04060,group_1177
12945_04061,group_10001
12945_04062,rhaS_2
12945_04063,yqhD_2
12945_04064,group_1025
12945_04065,group_2277
12945_04066,copR
12945_04067,group_1725
12945_04068,group_3893
12945_04069,group_580
12945_04070,group_2278
12945_04071,ptrB
12945_04072,ribB
12945_04073,group_8782
12945_04074,ftnA
12945_04075,moeA_1
12945_04076,moeB
12945_04077,group_9250
12945_04078,group_3120
12945_04079,group_1179
12945_04080,group_826
12945_04081,group_827
12945_04082,nlhH_2
12945_04083,group_923
12945_04084,yvbK
12945_04085,group_1027
12945_04086,group_2281
12945_04087,gcvA_6
12945_04088,azoR1
12945_04089,group_668
12945_04090,group_3121
12945_04091,rluA_4
12945_04092,cusS
12945_04093,adrB_10
12945_04094,group_8308
12945_04095,group_3122
12945_04096,cysA_2
12945_04097,modB_2
12945_04098,modA_2
12945_04099,moaE
12945_04100,moaD
12945_04101,moaC
12945_04102,moaB
12945_04103,moaA_1
